Abbruchmannschaft,0
Abdeckziegel,1
Abdriftmesser,1
Abdruckplatte,0
Abduktionsmuskel,1
Abendgottesdienst,1
Abfallaufbereitung,0
Abgas-Manipulation,0
Abgaskamin,1
Abgeordnetenzahl,0
Abholdienst,1
Abkühlpause,0
Ablationskatheter,1
Ablaufmasse,0
Abrechnungsbeleg,1
Absatz,1
Absaugtrichter,1
Abscherstift,1
Abschiedsbrief,1
Abschrägen,2
Absetzen,2
Absolutgeschwindigkeit,0
Absorptionsfarbstoff,1
Absprunggeschwindigkeit,0
Abstammungsgutachten,2
Abstammungskoeffizient,1
Abstammung,0
Abstandnahme,0
Abstandswarner,1
Abstiegsplatz,1
Abweichlerin,0
Abwälzfräser,1
Abänderungsgesetz,2
Acarinosis,0
Acerola-Kirsche,0
Achat,1
Achsdruckentlastung,0
Achselbehaarung,0
Achtender,1
Ackermannfunktion,0
Ackerschleppe,0
Adaptiogenese,0
Addierbefehl,1
Additionstheorem,2
Additionsverbindung,0
Addivität,0
Adduktorenspasmus,1
Adduktor,1
Adhäsionsprophylaxe,0
Adoptivvater,1
Adrenochrom,2
Adressaufkleber,1
Adressmodus,1
Adsorption,0
Advent,1
Agenturgebühr,0
Aggregationsprozess,1
Agmatin,2
Agrargeschichte,0
Agrinierit,1
Akipflaume,0
Akkommodationsfehler,1
Akkordvariation,0
Akkordzeit,0
Aklimait,1
Akremoniose,0
Aktieninhaberin,0
Aktivierungsverzögerung,0
Alaunstein,1
Albanologie,0
Albertseekauz,1
Albumtitel,1
Algenfilter,1
Aliud,2
Alkoholsüchtige,0
Alkuin,1
Allgemeingültigkeit,0
Alloarthroplastik,0
Allsatz,1
Allseitenrolle,0
Alpakapullover,1
Alpenbahn,0
Alpensüdseite,0
Alphitomantie,0
Altglascontainer,1
Altgrabung,0
Altpapiersammeln,2
Altpapier,2
Alveolarlimbus,1
Amarant,1
Ambulacralfeld,2
Ambulanzflugzeug,2
Amosbuch,2
Amtsgerichtsbezirk,1
Analdurchmesser,1
Analysebaum,1
Analysemodell,2
Anaphorik,0
Anbauwand,0
Anden-Nachtaffe,1
Andenamazilie,0
Anderson-Hörnchen,2
Anellierung,0
Anfangserregungsgeschwindigkeit,0
Anfangsnotierung,0
Anfangszwischenraum,1
Anforderungsquelle,0
Angebotskurve,0
Angiorhexis,0
Angriffsorgan,0
Ankerkraftkontrollgerät,2
Ankopplung,0
Ankörnschablone,0
Anlageform,0
Anlagenvariante,0
Anlockungsmittel,2
Ann-Arbor-Modell,2
Annihilation,0
Annäherungsfühler,1
Anreiseweg,1
Anschleichjäger,1
Anschlussbelegungsplan,1
Anschlussverbot,2
Anschlusszug,1
Anschriftenverzeichnis,2
Anstandsregel,0
Ansteuereinrichtung,0
Ansuchen,2
Antennenfuß,1
Antidot,2
Antigorit,1
Antilope,0
Antinozizeption,0
Antisemitismusvorwurf,1
Antriebssteuerungschrank,1
Anwendungsprogrammierer,1
Anzeigenvertreter,1
Anzugsdrehmoment,2
Anzünden,2
Anästhesiebogen,1
Anästhesieerfolg,1
Apographon,2
Apostolicum,2
Appretbrecher,1
Aprikosenkonfitüre,0
Araberspecht,1
Arantal,2
Arasittich,1
Arbeiterbier,2
Arbeitergewerkschaft,0
Arbeitgeberseite,0
Arbeitnehmervertreterin,0
Arbeitsbereicherung,0
Arbeitslänge,0
